Item,Vendor,Part #,Link
Platform,Kimchi Lab,MousePlatform,https://github.com/KimchiLab/MouseHeadFix
Tunnel,Kimchi Lab,MouseTunnel,https://github.com/KimchiLab/MouseHeadFix
Headbar anchor posts,Kimchi Lab,HeadbarHolder,https://github.com/KimchiLab/MouseHeadFix
Headbar,Kimchi Lab,Headbar,https://github.com/KimchiLab/MouseHeadFix
Operant response lever,AquiNeuro,,https://aquineuro.eu/en/
25G Blunt Needle,Dispense All,X002BHFPO7,https://www.amazon.com/Dispense-All-Gauge-Blunt-Dispensing/dp/B07Y2K837Q/ref=pd_bxgy_d_sccl_2/137-8833790-1428052?content-id=amzn1.sym.2b132e63-5dcd-4ba1-be9f-9e044543d59f&pd_rd_i=B07Y2HHTML&pd_rd_r=a6d692dd-1d05-4dad-ab30-0bd680e5ee6e&pd_rd_w=KOA1v&pd_rd_wg=fiNin&pf_rd_p=2b132e63-5dcd-4ba1-be9f-9e044543d59f&pf_rd_r=9AFQ5NV212PPMYTBYTJ8&th=1
"Two-door sound attenuating chamber
 (18"" W X 14"" H X 13"" D)",Med Associates,CT-SAC-181414-27,
SmartCtrl Connection Panel,Med Associates,SG-716B,https://med-associates.com/product/smartctrl-connection-panels/
SmrtCtrl Card,Med Associates,DIG-716B,
Variable-speed syringe pump,Med Associates,PHM-210,https://med-associates.com/product/syringe-pump/
Multi-tone sound generator,Med Associates,ENV-223,https://med-associates.com/product/multiple-tone-generator/
Speaker,Med Associates,ENV-224W,https://med-associates.com/product/speaker/
LED stimulus light,Med Associates,ENV-321W,https://med-associates.com/product/led-stimulus-light-yellow/
Response feedback clicker,Med Associates,ENV-335,https://med-associates.com/product/response-feedback-clicker/
HD Camera,Security Camera Warehouse,26DV8M-A,https://www.getscw.com/mid-2021-the-detective-8-0-26dv8m-a-8mp-4x1080p-multi-purpose-lens-turret-dome-camera-with-motorized-zoom-and-focus-and-audio-microphone
Needle holder,Thorlabs,PC2,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=1446&pn=PC2#10164
3-axis micromanipulator,Thorlabs,DT12XYZ,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=2952
"MB solid aluminum breadboard; 1/2"" thick ",Thorlabs,,
"1/2"" stainless steel optical posts",Thorlabs,TR2,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=1266&pn=TR2#237
"Right-angle clamp for 1/2"" posts",Thorlabs,RA90,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=1985&pn=RA90#6066
1/2” Post Holder Spring-Loaded Hex-Locking Thumbscrew ,Thorlabs,PH1.5,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=1268&pn=PH1.5#238
"PTFE 1/16"" OD, 0.8mm ID",Darwin Microfluidics,BL-PTFE-1608-20,https://darwin-microfluidics.com/products/ptfe-tubing-1-16-od-for-microfluidics
Gastight Leur-Lock Glass Syringes,Darwin Microfluidics,HM-81320,https://darwin-microfluidics.com/products/hamilton-gastight-luer-lock-glass-syringes
